,inicio,varinicio,varfim,escreva,leia,se,entao,fimse,fim,lit,inteiro,real,num,literal,id,opr,rcb,opm,(,),;,EOF
0,s2,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,Acc
2,,s35,,,,,,,,,,,,,,,,,,,,
3,,,,s10,s9,s17,,,s8,,,,,,s15,,,,,,,
4,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2,R2
5,,,,s10,s9,s17,,,s8,,,,,,s15,,,,,,,
6,,,,s10,s9,s17,,,s8,,,,,,s15,,,,,,,
7,,,,s10,s9,s17,,,s8,,,,,,s15,,,,,,,
8,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30,R30
9,,,,,,,,,,,,,,,s30,,,,,,,
10,,,,,,,,,,,,,s13,s12,s14,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,s47,
12,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13
13,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14
14,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15
15,,,,,,,,,,,,,,,,,s21,,,,,
16,,,,s10,s9,s17,,s26,,,,,,,s15,,,,,,,
17,,,,,,,,,,,,,,,,,,,s48,,,
18,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26
19,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27
20,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28
21,,,,,,,,,,,,,s28,,s27,,,,,,,
22,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23,R23
23,,,,s10,s9,s17,,s26,,,,,,,s15,,,,,,,
24,,,,s10,s9,s17,,s26,,,,,,,s15,,,,,,,
25,,,,s10,s9,s17,,s26,,,,,,,s15,,,,,,,
26,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29,R29
27,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20
28,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21
29,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,R19,s57,R19,R19,R19,R19
30,,,,,,,,,,,,,,,,,,,,,s31,
31,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11
32,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10
33,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16
34,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22,R22
35,,,s37,,,,,,,,,,,,s41,,,,,,,
36,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3
37,,,,,,,,,,,,,,,,,,,,,s38,
38,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5
39,,,s37,,,,,,,,,,,,s41,,,,,,,
40,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4,R4
41,,,,,,,,,,s42,s44,s43,,,,,,,,,,
42,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9
43,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8
44,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7
45,,,,,,,,,,,,,,,,,,,,,s46,
46,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6
47,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12
48,,,,,,,,,,,,,s28,,s27,,,,,,,
49,,,,,,,,,,,,,,,,,,,,s50,,
50,,,,,,,s51,,,,,,,,,,,,,,,
51,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24
52,,,,,,,,,,,,,,,,s53,,,,,,
53,,,,,,,,,,,,,s28,,s27,,,,,,,
54,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25
55,,,,,,,,,,,,,,,,,,,,,s56,
56,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17
57,,,,,,,,,,,,,s28,,s27,,,,,,,
58,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18
